D/service_hrm_DATA( 3507): 1548824552.509,2116098.000000,1.488336,3.984050,8.925228,-2.240000,-0.980000,-1.050000
D/service_hrm_DATA( 3507): 1548824552.549,2116717.000000,1.548156,4.022335,8.953942,-0.560000,-1.540000,-0.910000
D/service_hrm_DATA( 3507): 1548824552.589,2117358.000000,1.509871,3.948158,8.920443,-1.960000,-1.540000,-0.700000
D/service_hrm_DATA( 3507): 1548824552.629,2117724.000000,1.495514,4.039084,8.961121,-1.260000,-2.240000,0.280000
D/service_hrm_DATA( 3507): 1548824552.668,2117724.000000,1.490728,3.924229,8.865408,-1.540000,-2.800000,0.280000
D/service_hrm_DATA( 3507): 1548824552.709,2117820.000000,1.540978,3.967300,8.817552,-0.350000,-2.870000,0.280000
D/service_hrm_DATA( 3507): 1548824552.749,2117383.000000,1.497907,3.926622,8.831908,-1.120000,-2.450000,0.140000
D/service_hrm_DATA( 3507): 1548824552.788,2116570.000000,1.507478,3.940979,8.819944,-0.770000,-2.170000,0.350000
D/service_hrm_DATA( 3507): 1548824552.829,2115993.000000,1.509871,3.921836,8.860621,-1.260000,-2.170000,0.350000
D/service_hrm_DATA( 3507): 1548824552.868,2115993.000000,1.538585,3.912265,8.831908,-1.260000,-1.890000,0.070000
D/service_hrm_DATA( 3507): 1548824552.908,2115595.000000,1.521835,3.948158,8.819944,-1.540000,-2.240000,-0.140000
D/service_hrm_DATA( 3507): 1548824552.949,2115437.000000,1.569692,4.005585,8.834301,-1.540000,-1.820000,0.210000
D/service_hrm_DATA( 3507): 1548824552.988,2115536.000000,1.567299,3.945765,8.824730,-1.890000,-1.260000,-0.070000
D/service_hrm_DATA( 3507): 1548824553.029,2115456.000000,1.540978,3.976871,8.906086,-1.470000,-1.610000,-0.070000
D/service_hrm_DATA( 3507): 1548824553.069,2115456.000000,1.600798,3.909872,8.827123,-1.540000,-1.470000,-0.350000
D/service_hrm_DATA( 3507): 1548824553.108,2115794.000000,1.596013,3.960121,8.846266,-1.400000,-0.980000,-0.350000
D/service_hrm_DATA( 3507): 1548824553.150,2115754.000000,1.562513,3.933800,8.858230,-1.750000,-1.260000,-0.140000
D/service_hrm_DATA( 3507): 1548824553.190,2116242.000000,1.579263,3.940979,8.891729,-1.960000,-1.750000,0.070000
D/service_hrm_DATA( 3507): 1548824553.230,2116554.000000,1.600798,3.924229,8.839087,-1.610000,-1.680000,0.070000
D/service_hrm_DATA( 3507): 1548824553.269,2116554.000000,1.543371,4.010371,8.822337,-1.890000,-1.960000,0.210000
D/service_hrm_DATA( 3507): 1548824553.310,2116905.000000,1.507478,3.972085,8.769694,-1.540000,-1.820000,0.700000
D/service_hrm_DATA( 3507): 1548824553.350,2117470.000000,1.543371,3.847659,8.779266,-1.050000,-1.610000,0.420000
D/service_hrm_DATA( 3507): 1548824553.390,2118118.000000,1.569692,3.864408,8.781659,-1.470000,-1.050000,-0.420000
